extract_date,specimen_date,Number_tested,Number_confirmed,Number_hospitalized,Number_deaths
05/05/2020,03/24/2020,7079,4487,1317,441
05/05/2020,03/20/2020,7762,4133,892,250
05/05/2020,03/01/2020,1,0,0,0
05/05/2020,03/28/2020,4641,3408,1325,491
05/05/2020,05/02/2020,4578,747,60,2
05/05/2020,03/08/2020,109,27,16,4
05/05/2020,04/14/2020,9291,4002,915,251
05/05/2020,04/23/2020,9889,2693,307,65
05/05/2020,04/30/2020,9919,1731,126,8
05/05/2020,04/28/2020,11591,2464,205,17
05/05/2020,03/17/2020,5519,2568,516,132
05/05/2020,04/10/2020,7527,4163,1150,392
05/05/2020,04/21/2020,9671,2953,429,106
05/05/2020,03/22/2020,4375,2630,849,250
05/05/2020,04/25/2020,6058,1472,218,29
05/05/2020,02/02/2020,2,0,0,0
05/05/2020,03/27/2020,7289,5019,1566,541
05/05/2020,05/03/2020,2374,299,8,0
05/05/2020,03/23/2020,5572,3600,1128,349
05/05/2020,03/02/2020,4,0,0,0
05/05/2020,02/26/2020,1,0,0,0
05/05/2020,02/09/2020,1,0,0,0
05/05/2020,03/11/2020,790,177,62,22
05/05/2020,03/14/2020,1704,688,218,60
05/05/2020,04/17/2020,10094,3419,555,148
05/05/2020,03/16/2020,4938,2228,465,108
05/05/2020,03/25/2020,7468,4823,1404,449
05/05/2020,04/02/2020,9272,5665,1736,585
05/05/2020,04/20/2020,11353,3633,448,107
05/05/2020,02/05/2020,1,0,0,0
05/05/2020,03/07/2020,61,11,7,3
05/05/2020,04/27/2020,10044,2095,245,17
05/05/2020,03/04/2020,32,6,5,1
05/05/2020,01/23/2020,1,1,0,0
05/05/2020,02/08/2020,1,0,0,0
05/05/2020,04/29/2020,11387,2101,173,13
05/05/2020,03/10/2020,456,86,38,9
05/05/2020,04/09/2020,9029,4824,1286,453
05/05/2020,04/04/2020,6147,3718,1343,461
05/05/2020,02/29/2020,2,1,0,0
05/05/2020,03/03/2020,11,2,0,0
05/05/2020,03/09/2020,397,69,30,14
05/05/2020,03/06/2020,79,11,4,2
05/05/2020,05/04/2020,215,6,0,0
05/05/2020,03/13/2020,2158,683,193,45
05/05/2020,04/06/2020,10784,6180,1758,637
05/05/2020,04/18/2020,6422,2061,417,96
05/05/2020,03/31/2020,7582,5193,1602,593
05/05/2020,04/07/2020,10421,5830,1574,572
05/05/2020,04/19/2020,6680,2230,391,94
05/05/2020,03/05/2020,63,5,3,1
05/05/2020,04/05/2020,6167,3587,1308,441
05/05/2020,03/21/2020,4715,2667,756,237
05/05/2020,03/15/2020,2348,1090,288,82
05/05/2020,02/27/2020,1,0,0,1
05/05/2020,04/12/2020,5589,2669,825,279
05/05/2020,03/29/2020,4788,3442,1351,453
05/05/2020,05/01/2020,8779,1394,126,7
05/05/2020,03/18/2020,6279,3136,655,174
05/05/2020,04/08/2020,10003,5366,1492,544
05/05/2020,04/15/2020,9739,3733,739,220
05/05/2020,03/12/2020,1564,394,88,29
05/06/2020,04/09/2020,9030,4826,1287,457
05/06/2020,04/19/2020,6680,2232,394,97
05/06/2020,04/02/2020,9275,5670,1737,589
05/06/2020,02/29/2020,2,1,0,0
05/06/2020,03/27/2020,7289,5019,1566,543
05/06/2020,03/20/2020,7763,4135,893,252
05/06/2020,03/10/2020,456,86,38,9
05/06/2020,03/21/2020,4715,2667,756,237
05/06/2020,04/24/2020,9326,2318,298,56
05/06/2020,03/18/2020,6279,3139,656,175
05/06/2020,03/30/2020,8436,5972,1807,655
05/06/2020,04/03/2020,9405,5544,1711,624
05/06/2020,04/22/2020,11264,3324,358,81
05/06/2020,04/14/2020,9297,4007,919,262
05/06/2020,04/20/2020,11355,3638,450,110
